approval_perc,Date
20,Dec 4 2008
19,Nov 13 2008
18,Oct 3 2008
18,Sep 8 2008
18,Aug 7 2008
14,Jul 10 2008
19,Jun 9 2008
18,May 8 2008
20,Apr 6 2008
21,Mar 6 2008
24,Feb 11 2008
23,Jan 4 2008
22,Dec 6 2007
20,Nov 11 2007
29,Oct 12 2007
23,Oct 4 2007
24,Sep 14 2007
18,Aug 13 2007
27,Jul 12 2007
24,Jun 11 2007
29,May 10 2007
33,Apr 2 2007
28,Mar 11 2007
37,Feb 1 2007
35,Jan 15 2007
21,Dec 11 2006
26,Nov 9 2006
26,Nov 2 2006
26,Oct 20 2006
23,Oct 9 2006
24,Oct 6 2006
29,Sep 7 2006
27,Aug 7 2006
29,Jul 6 2006
27,Jun 1 2006
21,May 8 2006
23,Apr 10 2006
27,Mar 13 2006
25,Feb 6 2006
27,Jan 9 2006
29,Dec 5 2005
29,Nov 7 2005
29,Oct 13 2005
35,Sep 12 2005
36,Aug 8 2005
36,Jul 7 2005
34,Jun 6 2005
35,May 2 2005
38,Apr 4 2005
37,Mar 7 2005
45,Feb 7 2005
43,Jan 3 2005
41,Dec 5 2004
41,Nov 7 2004
40,Oct 11 2004
41,Sep 13 2004
40,Aug 9 2004
40,Jul 8 2004
41,Jun 3 2004
41,May 2 2004
43,Apr 5 2004
42,Mar 8 2004
41,Feb 9 2004
48,Jan 12 2004
43,Dec 11 2003
43,Nov 3 2003
41,Oct 6 2003
40,Sep 8 2003
45,Aug 4 2003
49,Jul 7 2003
50,Jun 12 2003
49,May 5 2003
58,Apr 7 2003
48,Mar 3 2003
50,Feb 3 2003
49,Jan 13 2003
50,Dec 5 2002
47,Nov 11 2002
50,Oct 3 2002
52,Sep 5 2002
46,Aug 5 2002
53,Jul 26 2002
54,Jul 9 2002
52,Jun 3 2002
57,May 6 2002
57,Apr 8 2002
63,Mar 4 2002
62,Feb 4 2002
62,Jan 7 2002
72,Dec 6 2001
73,Nov 8 2001
84,Oct 11 2001
42,Sep 7 2001
50,Aug 16 2001
47,Aug 3 2001
49,Jul 19 2001
51,Jun 11 2001
49,May 10 2001
55,Apr 6 2001
55,Mar 5 2001
53,Feb 1 2001
50,Jan 10 2001
56,Dec 2 2000
49,Oct 6 2000
48,Aug 29 2000
39,May 18 2000
51,Jan 7 2000
37,Sep 23 1999
39,Jul 13 1999
41,Jun 11 1999
45,Apr 13 1999
41,Feb 12 1999
50,Jan 15 1999
42,Dec 15 1998
41,Nov 13 1998
44,Oct 29 1998
47,Oct 9 1998
44,Oct 6 1998
55,Sep 11 1998
44,May 8 1998
49,Apr 17 1998
57,Feb 13 1998
56,Jan 30 1998
42,Jan 16 1998
39,Dec 18 1997
36,Oct 27 1997
41,Aug 22 1997
34,Jul 25 1997
32,May 6 1997
30,Apr 18 1997
37,Feb 24 1997
36,Jan 31 1997
41,Jan 10 1997
34,Oct 26 1996
39,Aug 5 1996
30,May 9 1996
35,Apr 9 1996
30,Sep 22 1995
30,Aug 28 1995
35,Jul 7 1995
34,May 11 1995
37,Apr 17 1995
31,Mar 27 1995
32,Mar 17 1995
35,Feb 24 1995
38,Feb 3 1995
33,Jan 16 1995
23,Dec 28 1994
23,Oct 22 1994
21,Oct 7 1994
27,Jul 15 1994
29,Mar 25 1994
28,Feb 26 1994
24,Nov 2 1993
23,Aug 8 1993
24,Jul 19 1993
27,Feb 26 1993
18,Mar 3 1992
40,Oct 10 1991
32,Jul 25 1991
26,Nov 2 1990
24,Oct 25 1990
23,Oct 18 1990
28,Oct 11 1990
42,Sep 9 1988
42,Aug 24 1987
42,Apr 11 1986
33,Apr 29 1983
29,Jun 11 1982
38,Jun 19 1981
25,Jun 13 1980
19,Jun 1 1979
29,Sep 8 1978
35,Sep 9 1977
36,Aug 5 1977
34,Jun 3 1977
40,May 20 1977
36,Mar 25 1977
24,Jan 23 1976
28,Oct 31 1975
29,Jun 27 1975
38,Apr 18 1975
32,Feb 28 1975
35,Oct 11 1974
47,Aug 16 1974
30,Apr 12 1974
